0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.168425173,0.048622336,-0.010449983,-0.012526732,-0.04990714,-0.062617332,0.044776827,-0.106168061,0.169540316,-0.03063133,0.25186643,0.017310744,-0.199510217,-0.17852667,-0.04162382,0.046233863,-0.203152046,-0.107176401,0.004574826,-0.107260585,0.053104796,0.004809845,0.078249052,-0.011080872,-0.127761871,-0.299025744,-0.097652428,-0.108277716,0.117639706,-0.03756953,0.013891494,0.068615794,-0.212586462,-0.121342763,0.018444248,0.138989463,0.031152854,0.013305757,0.183112681,-0.000297446,-0.078124464,-0.05993443,0.026910409,0.301766992,0.191315755,-0.004317231,-0.065061919,-0.077616185,0.033005659,-0.230263829,0.054178163,0.161131948,0.110214949,0.04029756,0.014630192,-0.090405628,0.016637616,0.063712746,-0.210898429,-0.020083398,0.003596405,-0.045496523,-0.070349097,0.003071368,0.242144272,0.120631769,-0.098864026,-0.119237781,0.204118103,-0.129227683,-0.033747397,0.079964571,-0.098325655,-0.127820909,-0.258464903,0.068545505,0.434528559,0.084887132,-0.157340139,0.045715526,-0.196001589,-0.039753452,0.068970889,0.025265854,-0.081426255,0.018427964,-0.132177129,0.060664345,0.092537478,-0.026677465,-0.094973914,0.167865574,0.031096876,0.082253195,0.12600404,0.071849778,-0.048767369,0.006312648,-0.184918553,-0.074114129,0.129606411,-0.091384485,0.039107651,0.148630977,-0.135347769,0.099444851,0.065268725,-0.059803665,0.066047989,-0.062563792,-0.03321892,-0.060425509,0.122084133,-0.290910631,0.236361176,0.141305968,-0.028120602,0.196253061,0.034916174,0.059281956,-0.030179957,-0.056455854,-0.081174649,-0.031718522,-0.032402378,-0.011718131,0.039152186,0.014108937
-0.120727643,0.126643702,0.07697694,-0.040090293,0.02124605,-0.067260571,0.012028309,-0.099319756,0.172599733,-0.059563484,0.24775587,-0.037089076,-0.166996464,-0.151979476,0.017036907,0.138035327,-0.131851614,-0.16693002,-0.114873767,-0.136356086,-0.029341735,-0.02686478,-0.087965019,0.025656734,-0.197417468,-0.301442951,-0.071700968,-0.160053894,-0.040959068,-0.121100783,-0.023953132,-0.010953808,-0.25728029,-0.100179441,-0.051447421,-0.003455286,0.049283501,-0.032264527,0.101175517,0.056594096,-0.142425254,0.022367574,0.089797869,0.206802621,0.184861258,0.008375494,-0.017090792,0.009435734,0.056756474,-0.225808516,0.099067762,0.051427253,0.159453183,0.068727732,0.102062106,-0.107796051,-0.055633225,-0.009858152,-0.182213038,0.074914418,0.059541494,-0.056944232,-0.121368743,-0.010417621,0.173468724,0.159712285,-0.06378445,-0.087339357,0.197113842,-0.145269185,-0.029836424,0.033521626,-0.01146714,-0.125032008,-0.330331594,0.156081542,0.396512687,0.169132799,-0.211497143,-0.025645535,-0.16442585,-0.019616816,0.009340858,-0.046713725,-0.069214821,0.003238589,-0.067359157,0.037168622,0.182754114,0.086212486,-0.042365193,0.200988829,-0.065813944,-0.031560324,0.002856707,0.033747941,-0.090643935,-0.049850941,-0.04198892,-0.039574817,0.102247827,-0.072454162,-0.016802931,0.141600579,-0.19802022,0.073349088,0.016120514,-0.057569981,0.011980493,0.171030343,-0.064013824,-0.086629197,0.093759887,-0.209814593,0.165911645,0.142442763,-0.040829591,0.0905656,0.024491224,0.061087992,-0.024356954,-0.040630072,-0.097107828,-0.134440333,0.004475552,0.000224357,0.058472872,0.084296368
-0.099104613,0.094063707,0.075021781,-0.039783221,-0.033683341,-0.103122011,-0.03509349,-0.117582858,0.165269032,-0.124895543,0.162517667,-0.029381478,-0.152651221,-0.180020094,-0.016889259,0.086392961,-0.189097688,-0.214039594,-0.024893288,-0.078914091,0.061857507,-0.078917637,-0.0756552,0.032081928,-0.128414422,-0.334486753,-0.050901361,-0.125926659,0.074376352,-0.073412292,0.030206416,0.019983225,-0.248666793,-0.052441761,-0.068800591,0.063703895,0.074221499,0.015049526,0.117122971,-0.01254957,-0.15513669,0.079482406,0.0253819,0.2106653,0.193682343,0.075654522,0.009730071,-0.030790076,0.128826275,-0.23283267,0.077478811,0.148831114,0.128148019,0.028659146,0.115714282,-0.150037706,-0.010311143,0.035109948,-0.224479526,0.11143323,0.033476248,-0.027254023,-0.068281166,0.003184887,0.172241732,0.104906052,-0.055966325,-0.08697737,0.247311607,-0.185915142,-0.042442091,0.028253973,-0.03260174,-0.078830436,-0.275305599,0.047543123,0.353766918,0.158321187,-0.192659169,0.032873627,-0.1425789,0.001265537,0.029877115,-0.044828974,-0.073176607,-0.038578797,-0.117154658,0.013579611,0.155568317,0.098281108,-0.006531792,0.180488586,0.004845735,-0.031680275,-0.011694135,-0.000545811,-0.116744056,-0.045003906,-0.123993732,-0.10120555,0.073584646,-0.049796551,-0.039106295,0.122240037,-0.223390773,0.124120601,-0.004208112,-0.032530148,-0.030303817,0.103269182,-0.051036276,0.015226364,0.093771458,-0.206580997,0.259794742,0.169342101,0.035418686,0.112739071,0.020191237,-0.004278866,-0.013911679,-0.114103243,-0.109826773,-0.165740356,-0.042698916,-0.040292747,0.051314738,0.078713313
-0.209552407,0.135012195,0.130916178,-0.014424324,-0.044931691,-0.093234211,-0.013439575,-0.151886091,0.086315416,-0.070018321,0.231104612,-0.072199896,-0.117536992,-0.128396913,-0.031395089,0.104320697,-0.152607054,-0.151158452,-0.024161991,-0.086825974,0.09053193,-0.02088118,-0.016007137,-0.014069315,-0.136929929,-0.317239076,-0.085472032,-0.112131506,0.064389974,-0.073696196,-0.00679993,0.026570555,-0.236637443,-0.033131901,-0.062799044,0.055124983,0.060793519,0.017723016,0.102150068,-0.041644618,-0.127435043,-0.012172593,0.055851396,0.211450726,0.228901014,0.027786508,0.029960711,0.001922424,-0.008152245,-0.171665207,-0.011426107,0.098956756,0.07634747,0.055861983,0.019518279,-0.102539644,-0.001990084,-0.042699099,-0.128425568,0.095422029,0.092707604,-0.125612512,-0.085273929,0.061414942,0.233054608,0.086324438,-0.070454255,-0.176084101,0.152295992,-0.174302995,-0.084300593,0.029633533,-0.100998908,-0.087025374,-0.32195431,0.067355633,0.407895803,0.103565596,-0.188090727,0.081051901,-0.131357789,0.02752455,0.090365663,0.046402715,-0.062478647,0.03871984,-0.155031309,0.044518624,0.179858699,0.008764168,-0.081275038,0.172138527,-0.038039308,0.043482389,0.013912579,0.034822561,-0.035436511,-0.007807024,-0.051562853,-0.042922072,0.107108183,-0.032997098,-0.009239808,0.17045714,-0.131878674,0.110414267,-0.046676047,0.043815769,-0.044278998,0.057459019,-0.069386497,-0.018108644,0.073101848,-0.186804712,0.199828312,0.2084461,-0.014896718,0.088316903,0.104260579,0.035627782,0.034214202,0.047432281,-0.098605074,-0.080015466,-0.016660225,-0.032974076,0.068910956,0.079130709
-0.190671384,0.13749586,0.068800226,-0.078050047,-0.096641794,-0.024192562,-0.028952044,-0.027372789,0.155775994,-0.108744949,0.050194364,-0.041475579,-0.222904384,-0.072345704,-0.058028631,0.14007777,-0.112018153,-0.154579431,-0.130029678,-0.070592053,0.066459037,0.113829099,-0.024021124,0.006304752,-0.106135979,-0.342673749,-0.044758588,-0.047102921,0.003181513,-0.123137742,-0.032231167,-0.019019084,-0.258509129,-0.115394816,0.005065739,0.094870463,0.012946758,-0.02867474,0.113258556,0.022929799,-0.163810849,0.006347943,0.096329629,0.268241465,0.169606298,0.065643765,-0.010895872,-0.083004311,0.076226585,-0.235855058,0.060465246,0.119755045,-0.000849012,0.047711004,0.098291524,-0.104099408,0.037841707,0.084321797,-0.189217553,0.059996314,0.084074758,-0.04996933,-0.109563537,0.010406997,0.16258654,0.092623368,-0.038366828,-0.157242998,0.18927592,-0.193463683,-0.018445998,0.004938331,-0.024017563,-0.079134062,-0.269204676,0.024063649,0.439500898,0.166899666,-0.156747505,0.063475057,-0.074315734,-0.014950369,0.11659506,0.03908588,-0.119771913,0.052257031,-0.056776494,0.131225735,0.183216944,0.090155452,-0.037427463,0.152308583,0.088045999,-0.046020575,0.096852832,0.01258111,-0.107417308,-0.074385189,-0.16705139,-0.052170184,0.110953078,-0.084730089,-0.005750317,0.169913411,-0.1491144,0.144439384,0.007275093,-0.074233696,-0.027529284,0.062766612,-0.077419922,-0.024743542,0.091014221,-0.132686019,0.167949095,0.151471481,-0.044031963,0.127349988,0.072725296,0.084582135,0.027760517,0.019788686,-0.108174868,-0.149461985,0.045046698,0.011056371,0.15583384,0.047188208
-0.134850681,0.147042692,-0.024715789,-0.067803979,-0.050143242,-0.042719968,0.039978385,-0.090346247,0.156784967,-0.06104438,0.258176327,0.012573933,-0.28930527,-0.166569024,0.019434029,0.121612765,-0.147182569,-0.162078679,-0.069288246,-0.128816605,0.00865905,-0.040693618,0.048597556,0.079598963,-0.096697025,-0.266294628,-0.062472153,-0.088038959,0.029567944,-0.116658032,0.045075759,0.024685621,-0.243819281,-0.133836418,0.00050965,0.122519784,-0.039677627,-0.035654761,0.189059481,-0.038419407,-0.052195445,-0.075644225,0.058045465,0.278793156,0.122026026,0.019899707,0.074667268,-0.043824386,0.093048468,-0.214498758,0.03913977,0.071952224,0.114772715,0.048988964,-0.012837086,-0.192358017,0.008498353,0.134606153,-0.16609557,0.062823012,0.057317719,-0.119486205,-0.169491425,-0.040190671,0.264758319,0.079935521,-0.124223746,-0.176571622,0.202219784,-0.108385257,-0.046710327,0.123573184,-0.092668787,-0.107357286,-0.287534267,0.099790633,0.419058353,0.088013671,-0.065857284,0.019354578,-0.129103377,0.041041039,-0.054314017,0.02016861,-0.128539234,0.033224162,-0.15326789,0.103359491,0.128991365,0.024254302,-0.103135034,0.125032932,0.005531751,0.095622659,0.044461016,0.05755223,-0.070914358,0.005749818,-0.112951383,0.001387127,0.100333579,-0.130866602,0.015409617,0.087460294,-0.116918176,0.106052205,-0.017587151,0.019412711,-0.021838263,0.04710333,-0.111745536,-0.030382499,0.111153409,-0.300224423,0.196546137,0.191673145,0.022957264,0.137676418,0.088184267,0.086648963,0.007758715,-0.038682695,-0.171456307,-0.091872074,0.033961333,0.003516195,0.115187779,0.04140301
-0.137500629,0.071325034,0.037828997,-0.121320054,-0.024791814,-0.109388694,-0.100822054,-0.069060758,0.224326178,-0.095224194,0.17695123,-0.011530004,-0.148060873,-0.081128918,0.003058452,0.048432991,-0.215700954,-0.20669423,-0.015485432,-0.151931584,0.015170403,0.017769469,0.0409877,0.040077221,-0.182603151,-0.287615985,-0.08288981,-0.160638988,0.064249679,0.027873859,-0.023340847,0.013435524,-0.214835793,-0.080658585,0.029310584,0.097184442,0.045316599,-0.047692776,0.182364926,-0.019597236,-0.112626925,-0.085103236,0.005990099,0.247274384,0.21187079,0.05513078,0.016361263,-0.066410653,0.123552993,-0.217304334,0.161216289,0.16716443,0.083370775,0.021419592,0.096511409,-0.184147611,0.001815086,0.130800486,-0.144485518,0.070004411,0.008935044,0.017064277,-0.034161866,-0.051746331,0.298329175,0.166848928,-0.133384988,-0.124050938,0.177353114,-0.125197962,-0.064679518,0.077873357,-0.134237632,-0.121794112,-0.29141593,0.026419282,0.402666837,0.085500352,-0.183141515,0.032180116,-0.08984375,-0.024374232,0.076919727,0.071534954,-0.167525366,0.047429319,-0.114645123,0.000931121,0.220006451,0.04430997,-0.138716787,0.150721505,-0.044243138,0.057277691,0.075964242,0.064041004,-0.087909952,-0.049718842,-0.15557763,-0.052594855,0.118729845,-0.024105866,-0.092732713,0.170806408,-0.134557217,0.054630704,-0.006726941,-0.032498688,-0.07331831,0.012547791,-0.058935564,-0.086034775,0.146031171,-0.184681296,0.154726669,0.130678385,0.053038798,0.211511403,0.058590624,0.019194253,-0.000527767,-0.012722194,-0.128906086,-0.059668515,0.005943118,0.031214952,0.117652841,0.084223025
-0.089219354,0.086755581,0.009510849,-0.013880759,-0.067064106,-0.112109415,-0.032919951,-0.157309279,0.157770172,-0.15350236,0.202112824,-0.027389074,-0.211324707,-0.12948525,0.030132867,0.030812457,-0.149216264,-0.178759232,-0.035504669,-0.115615383,-0.01573338,-0.013471588,0.067881353,-0.011654526,-0.180180639,-0.348234713,-0.136464432,-0.109377146,-0.008962242,-0.090032987,0.006131561,0.062474657,-0.231444404,-0.092669442,-0.056111675,0.089051247,-0.004932494,0.00502529,0.147396341,0.045890965,-0.100752316,-0.003574988,0.01286228,0.227232039,0.193668351,0.043610804,0.00214402,-0.059967298,0.074312709,-0.155655473,0.088948607,0.142389059,0.157930225,0.07123059,0.106266856,-0.068876103,0.021264274,0.064890355,-0.139099881,0.023700733,0.040742129,-0.031081,0.003085404,0.041040741,0.263641328,0.10145504,-0.035019379,-0.066282339,0.193768114,-0.149357498,-0.125132456,0.049098268,-0.065000236,-0.122828722,-0.266353726,0.072341189,0.330061585,0.132004768,-0.161603913,0.030180128,-0.140869409,-0.063946858,0.03402232,0.036866091,-0.082463428,-0.02139917,-0.142055258,0.026984628,0.171516076,0.013726175,-0.08465682,0.180022657,-0.005480569,0.079267278,0.091050655,0.0129316,-0.150558338,-0.000998043,-0.090794407,-0.082392022,0.10914854,-0.05594638,-0.060795598,0.138391227,-0.115065306,0.12699607,-0.024171436,-0.046681814,-0.010934789,0.045015845,-0.007898955,-0.078708775,0.050865877,-0.275197566,0.192407176,0.119866885,-0.084314011,0.173500851,0.010788347,0.073705591,-0.037329745,-0.025546804,-0.115570769,-0.123631209,-9.54E-05,0.049797818,0.053561635,0.066376902
-0.172518268,0.070007898,0.023041088,-0.093377531,-0.09299393,-0.015613612,-0.004334831,-0.093577072,0.290313363,-0.157157168,0.155210555,0.049465619,-0.186536536,-0.102971911,-0.020643111,0.121818945,-0.195972756,-0.220432088,-0.033205621,-0.102481864,0.043776125,-0.023138506,0.046281788,0.068010092,-0.240595043,-0.352379441,-0.072540075,-0.096208155,0.023098042,-0.039858107,-0.039821412,0.08253365,-0.278808028,-0.055288859,-0.011865433,0.120412186,0.034249756,0.003322072,0.133466959,0.005172405,-0.188587248,-0.091726765,0.081167817,0.21012567,0.264583498,0.058548436,0.009231856,-0.064801469,0.104629904,-0.287261635,0.063643739,0.140179038,0.084663212,0.03742405,0.097170912,-0.158861548,-0.006679389,0.05278822,-0.156313062,0.030218674,-0.005740825,-0.095762841,-0.079903968,-0.029200546,0.278620571,0.141761065,-0.091175817,-0.109160125,0.272686094,-0.193695933,-0.046761222,0.034977589,-0.068983942,-0.157540053,-0.319564551,-0.012843022,0.374824852,0.192651913,-0.132200539,0.129676104,-0.133967295,0.030819371,-0.005020804,0.074004695,-0.120068029,0.071888715,-0.089017116,0.051772572,0.203312442,0.033752397,-0.021703476,0.215103477,-0.003423356,0.020054154,0.076916665,0.049001209,-0.111009449,-0.044630952,-0.167665094,-0.058850814,0.069702893,-0.039522097,0.018402167,0.130795449,-0.213617712,0.105098687,-0.044468205,-0.050616972,-0.025296435,0.018459551,-0.057807803,-0.062584475,0.084302597,-0.265139014,0.19782567,0.161642551,-0.046874896,0.23041825,0.05561493,0.085669696,-0.001631282,-0.035745971,-0.082249269,-0.092514679,0.028014541,-0.081432611,0.09778706,0.078399755
-0.102647148,0.09424755,0.091370352,-0.031663585,-0.003026109,-0.04878708,-0.014637789,-0.062272057,0.139956042,-0.108761683,0.209388927,-0.034354396,-0.197333485,-0.144642293,0.019418895,0.117233045,-0.192060277,-0.061366007,-0.05541034,-0.100314036,0.035162643,0.005677551,0.079022691,0.026296407,-0.071795657,-0.434145033,-0.133906126,-0.144314468,0.09513554,-0.053819969,-0.026761295,-0.050415464,-0.214881048,-0.043150738,-0.067343727,0.053936914,0.00092175,-0.073364623,0.135209441,-0.014917806,-0.072496533,-0.040579315,-0.018011346,0.206404597,0.153605878,0.073690891,0.036982432,-0.041424103,0.045118712,-0.231109157,0.082714312,0.109420933,0.028536547,0.043249238,0.076333456,-0.099455163,0.023814868,0.114703186,-0.252869427,0.072789162,0.01453642,-0.021231784,-0.071690857,0.008792551,0.25149253,0.190216452,-0.105202496,-0.103441112,0.155371785,-0.19708544,0.046788704,-0.000306383,-0.08090765,-0.1749755,-0.262558758,0.104703464,0.3994506,0.209941253,-0.133263052,0.002079714,-0.139010668,-0.012103807,0.140523955,0.042824503,-0.113952681,0.008893371,-0.106596999,0.101494908,0.084833361,0.011973483,-0.054528765,0.220452458,-0.053024009,0.065320842,0.007506215,-0.002649695,-0.098767288,0.007463474,-0.098147951,0.001515757,0.118287742,-0.066622846,0.002199106,0.088150159,-0.129139245,0.077936999,-0.01626832,-0.070512019,0.038252965,0.0090729,-0.132953271,-0.055646922,0.140495449,-0.228738099,0.20884271,0.202554241,-0.025184315,0.19971326,0.063132629,0.100594848,-0.007377957,-0.100227006,-0.155023694,-0.017880438,0.046555895,0.00145152,0.075140074,-0.002093529
